years,FossilSimpleTechno,RenewableSimpleTechno,CarbonCaptureAndStorageTechnoÂ 
2015,54.95833333,44.75,0.291666667
2016,49.24242424,50.4456328,0.311942959
2017,49.51111111,50.17777778,0.311111111
2018,49.24511545,50.48845471,0.26642984
2019,46.30755864,53.214596,0.477845352
2020,39.80075901,59.72485769,0.474383302
2021,39.05982906,60.17094017,0.769230769
2022,37.96892762,61.27320955,0.757862827
2023,37.28693182,61.78977273,0.923295455
2024,35.72719437,60.44985681,3.822948814
2025,34.01739718,61.69242463,4.290178194
2026,32.36788317,62.86730154,4.764815289
2027,30.82797415,63.95941197,5.212613886
2028,29.37767919,65.01470442,5.607616389
2029,27.97003168,66.01686705,6.013101272
2030,25.71428571,65.71428571,8.571428571
2031,25.40679418,66.37168142,8.221524408
2032,25.09982886,67.02795208,7.872219053
2033,24.79338843,67.6831006,7.523510972
2034,24.48747153,68.33712984,7.175398633
2035,24.18207681,68.99004267,6.827880512
2036,23.87720296,69.64184196,6.480955088
2037,23.57284862,70.29253053,6.134620846
2038,23.26901249,70.94211124,5.788876277
2039,22.96569322,71.5905869,5.443719875
2040,22.65647125,72.21750212,5.126026621
2041,22.54040261,72.58293167,4.876665722
2042,22.41770715,72.92849035,4.653802497
2043,22.29480261,73.27463789,4.4305595
2044,22.17168846,73.62137578,4.206935759
2045,22.04836415,73.96870555,3.982930299
2046,21.92482916,74.3166287,3.758542141
2047,21.80108293,74.66514677,3.533770305
2048,21.67712493,75.01426127,3.308613805
2049,21.55295461,75.36397374,3.083071653
2050,21.42857143,75.71428571,2.857142857
2051,21.31188937,76.09345734,2.594653291
2052,21.16849124,76.37820487,2.453303893
2053,21.02348021,76.65704348,2.319476318
2054,20.87697768,76.9302328,2.192789521
2055,20.72909846,77.19802185,2.072879694
2056,20.57995108,77.46064921,1.959399713
2057,20.42963805,77.71834337,1.852018575
2058,20.27825617,77.971323,1.75042083
2059,20.12589674,78.21979725,1.654306014
2060,19.9726459,78.46396602,1.563388082
2061,19.81858483,78.70402033,1.477394844
2062,19.66379002,78.94014256,1.396067413
2063,19.50833352,79.17250682,1.319159659
2064,19.35228311,79.40127922,1.246437672
2065,19.19570259,79.62661817,1.17767924
2066,19.03865197,79.84867469,1.112673336
2067,18.88118765,80.06759273,1.051219627
2068,18.72336262,80.2835094,0.993127984
2069,18.56522667,80.49655531,0.938218023
2070,18.40682654,80.70685481,0.88631865
2071,18.2482061,80.91452628,0.837267621
2072,18.08940652,81.11968235,0.79091113
2073,17.93046638,81.32243022,0.747103399
2074,17.77142189,81.52287182,0.70570629
2075,17.61230693,81.72110414,0.666588931
2076,17.45315327,81.91721937,0.62962736
2077,17.29399064,82.11130517,0.594704181
2078,17.13484689,82.30344488,0.561708234
2079,16.97574803,82.49371769,0.530534281
2080,16.81671842,82.68219888,0.501082709
2081,16.6577808,82.86895996,0.473259239
2082,16.49895645,83.0540689,0.446974654
2083,16.3402652,83.23759026,0.42214454
2084,16.18172559,83.41958538,0.398689033
2085,16.0233549,83.60011252,0.376532586
2086,15.86516924,83.77922702,0.355603742
2087,15.70718362,83.95698146,0.335834919
2088,15.54941202,84.13342577,0.317162207
2089,15.39186746,84.30860736,0.299525173
2090,15.23456204,84.48257129,0.282866677
2091,15.07750698,84.65536032,0.267132698
2092,14.92071275,84.82701508,0.252272164
2093,14.76418902,84.99757418,0.2382368
2094,14.60794477,85.16707425,0.224980973
2095,14.45198833,85.33555012,0.212461552
2096,14.29632737,85.50303486,0.200637774
2097,14.14096902,85.66955987,0.189471115
2098,13.98591983,85.83515501,0.178925169
2099,13.83118585,85.99984862,0.168965534
2100,13.67677264,86.16366765,0.159559703
