years,production,unit
1985,1110.76,TWh
1986,1168.2734,TWh
1987,1183.1753,TWh
1988,1256.5248,TWh
1989,1350.2001,TWh
1990,1366.0226,TWh
1991,1351.3785,TWh
1992,1329.6443,TWh
1993,1268.4802,TWh
1994,1303.7145,TWh
1995,1261.7299,TWh
1996,1247.3822,TWh
1997,1245.2191,TWh
1998,1295.4772,TWh
1999,1267.8557,TWh
2000,1323.67,TWh
2001,1284.41,TWh
2002,1270.87,TWh
2003,1294.96,TWh
2004,1261.86,TWh
2005,1277.95,TWh
2006,1174.57,TWh
2007,1194.83,TWh
2008,1169.65,TWh
2009,1069.87,TWh
2010,1069.2,TWh
2011,1175.29,TWh
2012,1227.52,TWh
2013,1180.35,TWh
2014,1120.83,TWh
2015,1118.41,TWh
2016,1060.76,TWh
2017,987.45,TWh
2018,888.57,TWh
2019,834.83,TWh
2020,773.0,TWh
2021,830.76,TWh
2022,849.26,TWh
2023,788.55,TWh